订单ID,日期,年,月,日,季度,商品类别,子类别,商品名称,单价,数量,折扣率,总价,顾客ID,顾客姓名,省份,城市,地址,店铺,评分,支付方式,配送时间(天)
ORD-20231231-04367,2023-12-31,2023,12,31,4,美妆,常规,美妆商品86,1156.26,1,0.87,1005.95,CUST-98533,伍凤兰,浙江省,杭州市,湖南省张家港县高坪刘路d座 563538,华远软件传媒有限公司电商店铺,4,信用卡,7
ORD-20231225-04368,2023-12-25,2023,12,25,4,服装,裤子,短裤,990.83,1,1.0,990.83,CUST-95005,温丽娟,浙江省,湖州市,浙江省建市合川蔡路o座 579669,创亿网络有限公司电商店铺,3,银联,2
ORD-20230215-04369,2023-02-15,2023,2,15,1,玩具,常规,玩具商品32,536.19,1,1.0,536.19,CUST-31530,杨兰英,湖南省,株洲市,江西省丹丹县白云邓路Y座 837152,趋势信息有限公司电商店铺,3,信用卡,6
ORD-20220811-04370,2022-08-11,2022,8,11,3,图书,常规,图书商品89,1073.15,1,0.94,1008.76,CUST-38004,刘华,北京市,丰台区,宁夏回族自治区潮州县沙市石家庄街O座 794712,中建创业信息有限公司电商店铺,4,货到付款,7
ORD-20240705-04371,2024-07-05,2024,7,5,3,运动,常规,运动商品95,1641.77,1,1.0,1641.77,CUST-66720,刘颖,上海市,静安区,西藏自治区海口市金平刘街B座 226202,晖来计算机传媒有限公司电商店铺,4,微信支付,4
ORD-20230904-04372,2023-09-04,2023,9,4,3,美妆,常规,美妆商品13,638.27,1,1.0,638.27,CUST-86022,刘洋,河南省,许昌市,吉林省天津县翔安谭路Q座 635368,联通时科信息有限公司电商店铺,4,货到付款,3
ORD-20240201-04373,2024-02-01,2024,2,1,1,家居,灯具,吊灯,4042.97,1,1.0,4042.97,CUST-39324,王亮,山东省,青岛市,内蒙古自治区玉梅县海港陈街b座 275099,彩虹传媒有限公司电商店铺,4,微信支付,10
ORD-20220408-04374,2022-04-08,2022,4,8,2,玩具,常规,玩具商品29,186.41,2,1.0,372.82,CUST-61221,杨玉珍,湖北省,荆州市,广东省辛集县高明长春路w座 695263,通际名联传媒有限公司电商店铺,5,银联,8
ORD-20241209-04375,2024-12-09,2024,12,9,4,运动,常规,运动商品68,1835.34,1,0.7,1284.74,CUST-18298,陈丹,湖北省,武汉市,上海市倩县闵行王街b座 801956,创亿传媒有限公司电商店铺,4,支付宝,9
ORD-20221021-04376,2022-10-21,2022,10,21,4,运动,常规,运动商品97,1213.59,1,1.0,1213.59,CUST-97721,张萍,上海市,虹口区,辽宁省金凤市清河天津路s座 981285,信诚致远科技有限公司电商店铺,5,支付宝,6
ORD-20230413-04377,2023-04-13,2023,4,13,2,珠宝,常规,珠宝商品72,1353.07,3,0.9,3653.29,CUST-55972,宋楠,浙江省,杭州市,北京市沈阳市山亭杭州路l座 185958,新格林耐特传媒有限公司电商店铺,5,货到付款,9
ORD-20231015-04378,2023-10-15,2023,10,15,4,服装,上衣,卫衣,612.88,1,1.0,612.88,CUST-50829,张冬梅,广东省,深圳市,广东省红霞县和平蔡路n座 828552,通际名联传媒有限公司电商店铺,3,支付宝,3
ORD-20241208-04379,2024-12-08,2024,12,8,4,图书,常规,图书商品65,1140.11,2,1.0,2280.22,CUST-38660,吴博,山东省,济南市,广东省郑州市魏都叶路s座 487786,商软冠联科技有限公司电商店铺,4,微信支付,2
ORD-20220827-04380,2022-08-27,2022,8,27,3,电子产品,手机,华为P60,6636.84,1,1.0,6636.84,CUST-33518,孙鑫,浙江省,嘉兴市,云南省淑英市翔安潘街Q座 633511,襄樊地球村科技有限公司电商店铺,5,微信支付,9
ORD-20240105-04381,2024-01-05,2024,1,5,1,美妆,常规,美妆商品86,1316.45,1,1.0,1316.45,CUST-93848,侯霞,山东省,青岛市,海南省秀芳市新城重庆街B座 258238,双敏电子传媒有限公司电商店铺,5,银联,1
ORD-20241114-04382,2024-11-14,2024,11,14,4,服装,上衣,夏季短袖,897.89,2,1.0,1795.78,CUST-16918,陈坤,浙江省,宁波市,海南省欣市合川张街U座 612229,创联世纪网络有限公司电商店铺,4,信用卡,10
ORD-20220207-04383,2022-02-07,2022,2,7,1,图书,常规,图书商品36,1348.09,2,1.0,2696.18,CUST-60771,夏雪梅,浙江省,宁波市,甘肃省上海县门头沟李街J座 289657,创联世纪网络有限公司电商店铺,4,银联,10
ORD-20241022-04384,2024-10-22,2024,10,22,4,美妆,常规,美妆商品69,1015.4,4,1.0,4061.6,CUST-91657,周桂花,上海市,虹口区,台湾省东莞县沈河太原街C座 497126,信诚致远科技有限公司电商店铺,5,货到付款,5
ORD-20220605-04385,2022-06-05,2022,6,5,2,家居,家具,餐桌,1212.17,2,1.0,2424.34,CUST-14578,伍丽丽,四川省,宜宾市,西藏自治区上海市牧野王路G座 217675,天开网络有限公司电商店铺,3,信用卡,3
ORD-20240807-04386,2024-08-07,2024,8,7,3,家居,厨具,厨房电器,722.01,5,0.94,3393.45,CUST-37491,李阳,河南省,郑州市,青海省秀英市门头沟梧州街E座 783679,超艺网络有限公司电商店铺,4,信用卡,1
ORD-20231019-04387,2023-10-19,2023,10,19,4,母婴,常规,母婴商品14,1792.82,1,1.0,1792.82,CUST-91342,赖磊,湖北省,襄阳市,四川省勇市长寿李街o座 190174,四通传媒有限公司电商店铺,4,支付宝,10
ORD-20240531-04388,2024-05-31,2024,5,31,2,美妆,常规,美妆商品53,253.36,1,1.0,253.36,CUST-89938,韩玉,浙江省,湖州市,安徽省兴安盟市滨城刘街D座 892365,凌云科技有限公司电商店铺,5,信用卡,1
ORD-20220908-04389,2022-09-08,2022,9,8,3,运动,常规,运动商品55,1016.06,1,1.0,1016.06,CUST-64219,陈雪,山东省,潍坊市,湖南省长沙县清河银川路x座 201486,兰金电子科技有限公司电商店铺,4,微信支付,5
ORD-20240711-04390,2024-07-11,2024,7,11,3,图书,常规,图书商品28,1234.05,1,0.86,1061.28,CUST-19938,徐静,湖南省,岳阳市,贵州省永安市门头沟柴街u座 789909,新格林耐特传媒有限公司电商店铺,4,支付宝,4
ORD-20240324-04391,2024-03-24,2024,3,24,1,服装,内衣,睡衣,1456.71,2,1.0,2913.42,CUST-47407,梁秀荣,广东省,深圳市,辽宁省邯郸市吉区刘路z座 818740,双敏电子传媒有限公司电商店铺,4,货到付款,1
ORD-20230324-04392,2023-03-24,2023,3,24,1,母婴,常规,母婴商品11,945.27,2,1.0,1890.54,CUST-52197,邓斌,湖北省,黄石市,四川省岩市平山张路Y座 307019,创亿网络有限公司电商店铺,2,支付宝,3
ORD-20230530-04393,2023-05-30,2023,5,30,2,运动,常规,运动商品44,618.91,1,1.0,618.91,CUST-66898,王琴,河南省,洛阳市,澳门特别行政区冬梅市西夏黄路K座 250442,襄樊地球村科技有限公司电商店铺,3,信用卡,4
ORD-20220821-04394,2022-08-21,2022,8,21,3,食品,常规,食品商品80,303.06,5,1.0,1515.3,CUST-28420,苑阳,广东省,深圳市,福建省峰县新城海门路s座 869420,戴硕电子科技有限公司电商店铺,4,货到付款,9
ORD-20220304-04395,2022-03-04,2022,3,4,1,美妆,常规,美妆商品83,1083.48,3,1.0,3250.44,CUST-38168,简建,山东省,济南市,海南省海口县萧山李路W座 128560,彩虹传媒有限公司电商店铺,4,银联,8
ORD-20230322-04396,2023-03-22,2023,3,22,1,母婴,常规,母婴商品81,952.88,1,1.0,952.88,CUST-88257,刘凤英,北京市,朝阳区,吉林省北镇市永川兰州街W座 650411,立信电子信息有限公司电商店铺,4,货到付款,3
ORD-20221113-04397,2022-11-13,2022,11,13,4,电子产品,手机,华为P50,2486.73,1,0.77,1914.78,CUST-72167,李峰,浙江省,杭州市,香港特别行政区丹丹县永川大冶街A座 352856,趋势信息有限公司电商店铺,4,信用卡,5
ORD-20220615-04398,2022-06-15,2022,6,15,2,食品,常规,食品商品78,327.72,1,0.92,301.5,CUST-63934,杨宇,湖南省,衡阳市,甘肃省桂荣市丰都宜都街x座 252122,创联世纪网络有限公司电商店铺,3,微信支付,7
ORD-20230405-04399,2023-04-05,2023,4,5,2,服装,裤子,阔腿裤,77.08,1,0.87,67.06,CUST-42734,黄想,湖北省,宜昌市,湖北省涛县吉区詹路u座 326914,凌云科技有限公司电商店铺,5,微信支付,7
ORD-20220524-04400,2022-05-24,2022,5,24,2,美妆,常规,美妆商品93,1885.39,1,0.87,1640.29,CUST-20032,萧峰,湖南省,湘潭市,河北省六安县崇文姚路g座 508123,维涛网络有限公司电商店铺,5,银联,9
ORD-20241031-04401,2024-10-31,2024,10,31,4,服装,内衣,文胸,72.79,2,1.0,145.58,CUST-89894,阎楠,湖南省,湘潭市,河南省俊市江北邓街V座 508079,趋势信息有限公司电商店铺,5,微信支付,4
ORD-20220511-04402,2022-05-11,2022,5,11,2,珠宝,常规,珠宝商品63,1491.67,1,1.0,1491.67,CUST-54950,赵龙,湖北省,黄石市,重庆市重庆市六枝特贵阳街v座 664720,新格林耐特科技有限公司电商店铺,4,支付宝,1
ORD-20220603-04403,2022-06-03,2022,6,3,2,电子产品,音响,JBL Flip 6,2681.9,1,1.0,2681.9,CUST-28569,赵波,山东省,烟台市,山西省广州市怀柔淮安街N座 437251,创联世纪网络有限公司电商店铺,4,支付宝,2
ORD-20230925-04404,2023-09-25,2023,9,25,3,美妆,常规,美妆商品16,31.65,7,1.0,221.55,CUST-36666,何楠,浙江省,温州市,海南省淑兰市南长张街C座 434053,黄石金承科技有限公司电商店铺,3,银联,3
ORD-20230701-04405,2023-07-01,2023,7,1,3,珠宝,常规,珠宝商品98,614.17,2,1.0,1228.34,CUST-75689,金兵,四川省,宜宾市,贵州省荆门县新城潮州街d座 863881,黄石金承科技有限公司电商店铺,4,微信支付,4
ORD-20220925-04406,2022-09-25,2022,9,25,3,玩具,常规,玩具商品86,1287.55,5,0.85,5472.09,CUST-59045,李建国,山东省,济南市,山西省南宁市璧山兰州街m座 747295,同兴万点信息有限公司电商店铺,5,信用卡,10
ORD-20221225-04407,2022-12-25,2022,12,25,4,食品,常规,食品商品40,1802.54,1,0.89,1604.26,CUST-29992,成英,浙江省,宁波市,内蒙古自治区长春县沙市李街r座 906164,巨奥传媒有限公司电商店铺,4,信用卡,3
ORD-20240517-04408,2024-05-17,2024,5,17,2,玩具,常规,玩具商品38,577.59,1,0.84,485.18,CUST-71344,李杨,河南省,许昌市,陕西省贵阳县长寿兰州街v座 370612,恒聪百汇信息有限公司电商店铺,3,信用卡,9
ORD-20240615-04409,2024-06-15,2024,6,15,2,珠宝,常规,珠宝商品54,268.17,2,1.0,536.34,CUST-49503,黎婷婷,广东省,珠海市,河南省香港县门头沟辛集路o座 838428,四通传媒有限公司电商店铺,3,支付宝,1
ORD-20220711-04410,2022-07-11,2022,7,11,3,美妆,常规,美妆商品9,113.0,1,0.88,99.44,CUST-29666,刘军,四川省,宜宾市,青海省佛山县翔安陈路t座 523055,易动力传媒有限公司电商店铺,4,信用卡,9
ORD-20221126-04411,2022-11-26,2022,11,26,4,图书,常规,图书商品16,653.57,1,0.9,588.21,CUST-76193,李晨,湖北省,武汉市,辽宁省北镇县东城永安街r座 233676,襄樊地球村科技有限公司电商店铺,3,银联,1
ORD-20241102-04412,2024-11-02,2024,11,2,4,美妆,常规,美妆商品83,1294.26,2,1.0,2588.52,CUST-96268,刘秀芳,上海市,黄浦区,上海市南宁市东丽吕路z座 707098,创联世纪网络有限公司电商店铺,4,支付宝,9
ORD-20240620-04413,2024-06-20,2024,6,20,2,母婴,常规,母婴商品43,1858.72,2,0.65,2416.34,CUST-31110,邹颖,广东省,珠海市,河南省石家庄县南溪傅路w座 848160,黄石金承科技有限公司电商店铺,4,微信支付,6
ORD-20220422-04414,2022-04-22,2022,4,22,2,家居,家具,沙发,1102.55,1,1.0,1102.55,CUST-11975,巫志强,北京市,海淀区,海南省桂荣市房山唐路P座 904064,凌云科技有限公司电商店铺,5,微信支付,4
ORD-20231109-04415,2023-11-09,2023,11,9,4,电子产品,音响,JBL Flip 6,4950.25,1,0.77,3811.69,CUST-58498,李建,山东省,济南市,北京市利县孝南深圳路s座 701361,创亿网络有限公司电商店铺,4,信用卡,1
ORD-20220716-04416,2022-07-16,2022,7,16,3,运动,常规,运动商品13,636.98,1,1.0,636.98,CUST-46653,孙林,江苏省,无锡市,上海市天津市沙市王路l座 328356,精芯科技有限公司电商店铺,4,微信支付,5
ORD-20231210-04417,2023-12-10,2023,12,10,4,图书,常规,图书商品58,1463.78,1,1.0,1463.78,CUST-92076,陈璐,浙江省,宁波市,重庆市北镇县龙潭六安路Y座 320501,济南亿次元传媒有限公司电商店铺,5,支付宝,6
ORD-20220616-04418,2022-06-16,2022,6,16,2,图书,常规,图书商品85,1036.76,1,0.64,663.53,CUST-54982,田亮,北京市,西城区,山西省长沙市清河吴街N座 831156,数字100信息有限公司电商店铺,4,货到付款,1
ORD-20230720-04419,2023-07-20,2023,7,20,3,珠宝,常规,珠宝商品9,1930.89,1,1.0,1930.89,CUST-42960,鞠桂香,江苏省,常州市,甘肃省宁德县城北黄路V座 275026,济南亿次元传媒有限公司电商店铺,4,货到付款,4
ORD-20241222-04420,2024-12-22,2024,12,22,4,运动,常规,运动商品95,1722.57,1,1.0,1722.57,CUST-62819,郭宁,湖北省,襄阳市,内蒙古自治区沈阳县龙潭曹街K座 874495,趋势信息有限公司电商店铺,3,支付宝,6
ORD-20230125-04421,2023-01-25,2023,1,25,1,美妆,常规,美妆商品97,1001.95,5,0.83,4158.09,CUST-98513,徐琳,湖南省,株洲市,陕西省欢市和平兰州街M座 538883,通际名联传媒有限公司电商店铺,4,微信支付,5
ORD-20240322-04422,2024-03-22,2024,3,22,1,图书,常规,图书商品10,1101.37,2,1.0,2202.74,CUST-87879,董柳,上海市,徐汇区,黑龙江省楠市合川宜都街h座 587377,华远软件传媒有限公司电商店铺,4,支付宝,5
ORD-20220325-04423,2022-03-25,2022,3,25,1,母婴,常规,母婴商品76,1811.07,2,1.0,3622.14,CUST-45985,屠英,北京市,朝阳区,福建省琳县璧山胡路z座 879305,通际名联传媒有限公司电商店铺,5,支付宝,2
ORD-20220305-04424,2022-03-05,2022,3,5,1,玩具,常规,玩具商品93,1612.75,1,0.73,1177.31,CUST-67840,陈秀芳,江苏省,无锡市,浙江省淑珍市长寿陈街X座 523130,同兴万点信息有限公司电商店铺,5,微信支付,2
ORD-20240124-04425,2024-01-24,2024,1,24,1,图书,常规,图书商品29,1308.03,1,0.85,1111.83,CUST-70841,王颖,四川省,绵阳市,黑龙江省丽娟市新城邓街P座 103527,创亿传媒有限公司电商店铺,4,货到付款,7
ORD-20220724-04426,2022-07-24,2022,7,24,3,家居,厨具,厨房电器,4995.88,1,1.0,4995.88,CUST-94022,袁兵,北京市,朝阳区,山东省宇市淄川刘街S座 148120,数字100信息有限公司电商店铺,4,银联,9
ORD-20220621-04427,2022-06-21,2022,6,21,2,玩具,常规,玩具商品30,700.44,1,1.0,700.44,CUST-34253,陈健,广东省,珠海市,四川省永安市长寿齐齐哈尔街c座 597657,艾提科信信息有限公司电商店铺,5,货到付款,10
ORD-20241002-04428,2024-10-02,2024,10,2,4,图书,常规,图书商品83,986.77,1,1.0,986.77,CUST-44234,王云,广东省,深圳市,山东省汕尾市海陵蔡路j座 785547,巨奥传媒有限公司电商店铺,2,支付宝,3
ORD-20240607-04429,2024-06-07,2024,6,7,2,美妆,常规,美妆商品24,238.89,3,1.0,716.67,CUST-28282,孙春梅,湖北省,黄石市,广西壮族自治区六安市上街王路t座 774076,中建创业信息有限公司电商店铺,5,货到付款,3
ORD-20240920-04430,2024-09-20,2024,9,20,3,珠宝,常规,珠宝商品54,1232.01,2,1.0,2464.02,CUST-36048,陈林,湖南省,株洲市,云南省成都市璧山合肥街c座 987673,鑫博腾飞信息有限公司电商店铺,3,银联,8
ORD-20220112-04431,2022-01-12,2022,1,12,1,美妆,常规,美妆商品46,1737.58,2,0.88,3058.14,CUST-11455,李鑫,浙江省,宁波市,云南省武汉市萧山邯郸路V座 106534,黄石金承科技有限公司电商店铺,5,银联,10
ORD-20241113-04432,2024-11-13,2024,11,13,4,家居,装饰品,抱枕,2368.12,1,0.76,1799.77,CUST-74549,冯博,江苏省,南京市,云南省红霞市房山王街W座 643197,黄石金承科技有限公司电商店铺,4,支付宝,1
ORD-20220806-04433,2022-08-06,2022,8,6,3,电子产品,电脑,MacBook Air,1167.2,4,1.0,4668.8,CUST-11633,李淑英,山东省,烟台市,香港特别行政区银川县秀英梧州路o座 815870,维涛网络有限公司电商店铺,5,信用卡,3
ORD-20220528-04434,2022-05-28,2022,5,28,2,运动,常规,运动商品28,519.65,1,1.0,519.65,CUST-47740,田燕,江苏省,南京市,山东省梧州市西夏邯郸路w座 285098,同兴万点网络有限公司电商店铺,4,银联,1
ORD-20241120-04435,2024-11-20,2024,11,20,4,家居,厨具,保温杯,753.07,1,1.0,753.07,CUST-83179,陈淑珍,上海市,黄浦区,湖北省楠市静安商路Y座 233434,艾提科信网络有限公司电商店铺,3,支付宝,10
ORD-20231101-04436,2023-11-01,2023,11,1,4,玩具,常规,玩具商品69,1715.96,1,0.76,1304.13,CUST-28812,陆璐,山东省,济南市,四川省兴安盟县金平成都路d座 320487,中建创业信息有限公司电商店铺,4,银联,3
ORD-20241229-04437,2024-12-29,2024,12,29,4,美妆,常规,美妆商品56,1633.2,3,1.0,4899.6,CUST-38142,陈芳,湖北省,荆州市,山东省冬梅市平山六盘水路T座 971780,立信电子信息有限公司电商店铺,3,微信支付,3
ORD-20240913-04438,2024-09-13,2024,9,13,3,电子产品,相机,松下GH6,2985.07,8,1.0,23880.56,CUST-28429,黎琴,山东省,烟台市,内蒙古自治区文市南长北镇街G座 617556,创亿网络有限公司电商店铺,4,货到付款,6
ORD-20230105-04439,2023-01-05,2023,1,5,1,美妆,常规,美妆商品47,1128.22,1,0.76,857.45,CUST-42486,孙秀兰,上海市,浦东新区,陕西省哈尔滨县高坪澳门路b座 684708,创亿网络有限公司电商店铺,3,银联,9
ORD-20220218-04440,2022-02-18,2022,2,18,1,图书,常规,图书商品96,1369.77,3,0.76,3123.08,CUST-77659,尹斌,湖北省,宜昌市,河南省桂芝县翔安阜新街O座 553532,艾提科信信息有限公司电商店铺,3,银联,10
ORD-20220405-04441,2022-04-05,2022,4,5,2,珠宝,常规,珠宝商品74,533.23,3,0.95,1519.71,CUST-80011,瞿建国,上海市,静安区,西藏自治区海燕市海港呼和浩特街i座 725624,华远软件信息有限公司电商店铺,3,微信支付,2
ORD-20230807-04442,2023-08-07,2023,8,7,3,运动,常规,运动商品13,480.08,1,1.0,480.08,CUST-67387,马宇,江苏省,苏州市,陕西省娜市萧山潘街B座 744216,艾提科信信息有限公司电商店铺,3,信用卡,4
ORD-20230819-04443,2023-08-19,2023,8,19,3,玩具,常规,玩具商品16,1804.72,1,0.92,1660.34,CUST-56333,余玉,山东省,潍坊市,天津市北京县清河荆门路y座 626089,趋势信息有限公司电商店铺,3,信用卡,5
ORD-20221004-04444,2022-10-04,2022,10,4,4,家居,厨具,保温杯,4211.87,1,1.0,4211.87,CUST-27907,罗璐,湖北省,襄阳市,西藏自治区长春市新城黄路O座 134174,襄樊地球村科技有限公司电商店铺,4,货到付款,1
ORD-20241115-04445,2024-11-15,2024,11,15,4,家居,装饰品,摆件,1606.01,6,1.0,9636.06,CUST-58908,胡倩,河南省,开封市,吉林省济南市六枝特香港街c座 146899,精芯科技有限公司电商店铺,5,银联,1
ORD-20240926-04446,2024-09-26,2024,9,26,3,运动,常规,运动商品25,1966.58,1,1.0,1966.58,CUST-40219,孟桂花,河南省,开封市,广西壮族自治区荣市友好宋路V座 817524,同兴万点网络有限公司电商店铺,3,微信支付,8
ORD-20220818-04447,2022-08-18,2022,8,18,3,家居,家具,床,1988.87,3,0.72,4295.96,CUST-17601,唐玉英,湖南省,湘潭市,辽宁省上海县浔阳侯路z座 445861,兰金电子科技有限公司电商店铺,3,货到付款,7
ORD-20230321-04448,2023-03-21,2023,3,21,1,家居,厨具,锅具套装,276.99,1,1.0,276.99,CUST-51916,孙宇,山东省,烟台市,河南省北京市浔阳辛集街h座 145388,艾提科信信息有限公司电商店铺,3,微信支付,7
ORD-20240316-04449,2024-03-16,2024,3,16,1,母婴,常规,母婴商品30,664.96,2,0.8,1063.94,CUST-78196,孙荣,江苏省,无锡市,黑龙江省杨市永川卢路k座 210125,襄樊地球村科技有限公司电商店铺,5,支付宝,10
ORD-20230310-04450,2023-03-10,2023,3,10,1,珠宝,常规,珠宝商品27,547.71,1,1.0,547.71,CUST-61268,罗建平,浙江省,嘉兴市,上海市飞市安次贵阳路D座 516632,同兴万点信息有限公司电商店铺,5,货到付款,6
ORD-20240308-04451,2024-03-08,2024,3,8,1,家居,家具,电视柜,1643.56,2,0.9,2958.41,CUST-27502,尤勇,河南省,新乡市,湖北省婷市涪城齐齐哈尔街T座 812438,艾提科信网络有限公司电商店铺,5,微信支付,7
ORD-20240905-04452,2024-09-05,2024,9,5,3,电子产品,手机,华为P50,4595.75,3,1.0,13787.25,CUST-64051,李桂珍,河南省,新乡市,吉林省涛市普陀武汉街E座 497459,趋势信息有限公司电商店铺,4,信用卡,8
ORD-20231216-04453,2023-12-16,2023,12,16,4,珠宝,常规,珠宝商品36,1626.45,3,0.82,4001.07,CUST-33369,杨雪梅,北京市,东城区,广东省哈尔滨县蓟州福州街Y座 520514,同兴万点网络有限公司电商店铺,4,信用卡,7
ORD-20240723-04454,2024-07-23,2024,7,23,3,珠宝,常规,珠宝商品13,1398.04,3,0.8,3355.3,CUST-45812,李金凤,江苏省,扬州市,青海省重庆市城北潮州路v座 167885,凌云网络有限公司电商店铺,4,信用卡,4
ORD-20220321-04455,2022-03-21,2022,3,21,1,电子产品,音响,JBL Flip 6,2474.05,1,0.89,2201.9,CUST-82818,孟林,湖南省,长沙市,青海省兰州市海陵关岭街k座 329741,艾提科信信息有限公司电商店铺,4,银联,7
ORD-20230329-04456,2023-03-29,2023,3,29,1,珠宝,常规,珠宝商品24,167.02,2,1.0,334.04,CUST-69484,陆建国,湖北省,武汉市,黑龙江省太原市魏都杭州街O座 212682,创联世纪网络有限公司电商店铺,4,货到付款,9
ORD-20240904-04457,2024-09-04,2024,9,4,3,母婴,常规,母婴商品29,670.15,1,1.0,670.15,CUST-16274,张阳,四川省,宜宾市,青海省芳县沙市合山街d座 466294,天开网络有限公司电商店铺,3,信用卡,9
ORD-20231204-04458,2023-12-04,2023,12,4,4,电子产品,手机,vivo X90,3294.52,1,1.0,3294.52,CUST-44215,曾燕,山东省,临沂市,安徽省坤县房山深圳路k座 875888,兰金电子传媒有限公司电商店铺,5,信用卡,2
ORD-20240305-04459,2024-03-05,2024,3,5,1,运动,常规,运动商品20,1817.29,2,1.0,3634.58,CUST-89894,陈桂珍,北京市,丰台区,福建省澳门县闵行太原路r座 565659,通际名联传媒有限公司电商店铺,5,货到付款,7
ORD-20240224-04460,2024-02-24,2024,2,24,1,食品,常规,食品商品83,1617.11,1,1.0,1617.11,CUST-74215,戚冬梅,山东省,潍坊市,江苏省关岭县涪城长沙街E座 379188,趋势信息有限公司电商店铺,4,银联,3
ORD-20240831-04461,2024-08-31,2024,8,31,3,食品,常规,食品商品52,42.71,2,1.0,85.42,CUST-69352,周欢,四川省,德阳市,重庆市广州县西峰重庆街P座 952297,鑫博腾飞信息有限公司电商店铺,3,银联,2
ORD-20241111-04462,2024-11-11,2024,11,11,4,食品,常规,食品商品100,1011.0,9,0.72,6551.28,CUST-51599,罗丽华,广东省,珠海市,江西省桂英市永川罗街o座 485166,天开网络有限公司电商店铺,5,支付宝,8
ORD-20240916-04463,2024-09-16,2024,9,16,3,珠宝,常规,珠宝商品85,1015.01,1,1.0,1015.01,CUST-99197,林娜,河南省,郑州市,吉林省邯郸县和平汕尾路R座 843374,兰金电子科技有限公司电商店铺,4,支付宝,7
ORD-20240523-04464,2024-05-23,2024,5,23,2,美妆,常规,美妆商品6,1777.35,2,1.0,3554.7,CUST-10480,崔玉珍,广东省,珠海市,江西省张家港市闵行台北街T座 463474,创亿网络有限公司电商店铺,4,信用卡,7
ORD-20220620-04465,2022-06-20,2022,6,20,2,运动,常规,运动商品42,203.12,1,1.0,203.12,CUST-57107,罗桂花,湖北省,荆州市,贵州省云县涪城王路X座 987904,双敏电子传媒有限公司电商店铺,4,信用卡,6
ORD-20241016-04466,2024-10-16,2024,10,16,4,电子产品,相机,尼康Z9,5672.66,1,1.0,5672.66,CUST-35837,庄刚,湖南省,株洲市,新疆维吾尔自治区兴安盟县魏都西宁街v座 946840,济南亿次元传媒有限公司电商店铺,4,货到付款,2
ORD-20230119-04467,2023-01-19,2023,1,19,1,运动,常规,运动商品77,173.81,1,1.0,173.81,CUST-43401,邱秀兰,湖南省,岳阳市,湖南省玲县蓟州宁德路s座 283140,维涛网络有限公司电商店铺,1,银联,3
ORD-20240628-04468,2024-06-28,2024,6,28,2,食品,常规,食品商品41,1144.4,5,1.0,5722.0,CUST-17245,李秀华,山东省,济南市,青海省台北市清浦兴城街A座 629677,联通时科信息有限公司电商店铺,5,信用卡,3
ORD-20220409-04469,2022-04-09,2022,4,9,2,珠宝,常规,珠宝商品18,878.01,4,1.0,3512.04,CUST-60909,周荣,四川省,绵阳市,安徽省洁县兴山关岭路G座 723913,精芯科技有限公司电商店铺,5,货到付款,5
ORD-20240823-04470,2024-08-23,2024,8,23,3,服装,外套,毛衣,1689.83,4,0.81,5475.05,CUST-80860,徐丽,北京市,西城区,河北省淑珍县华龙石家庄路u座 173529,趋势信息有限公司电商店铺,3,信用卡,8
ORD-20240402-04471,2024-04-02,2024,4,2,2,运动,常规,运动商品86,112.03,7,0.7,548.95,CUST-94980,刘英,江苏省,常州市,云南省海燕县六枝特黄街b座 377675,中建创业信息有限公司电商店铺,4,微信支付,3
ORD-20230524-04472,2023-05-24,2023,5,24,2,图书,常规,图书商品41,377.74,1,0.78,294.64,CUST-31652,王秀珍,浙江省,温州市,内蒙古自治区辽阳市长寿陈路b座 172403,天开网络有限公司电商店铺,4,支付宝,3
ORD-20220217-04473,2022-02-17,2022,2,17,1,家居,床上用品,枕头,4999.44,1,1.0,4999.44,CUST-13452,蒋娟,湖南省,湘潭市,四川省玉县黄浦翟街L座 232731,创亿传媒有限公司电商店铺,4,信用卡,6
ORD-20230619-04474,2023-06-19,2023,6,19,2,图书,常规,图书商品89,640.03,2,0.68,870.44,CUST-61050,许晨,四川省,南充市,香港特别行政区兴安盟市朝阳房路G座 832956,信诚致远科技有限公司电商店铺,4,银联,10
ORD-20231025-04475,2023-10-25,2023,10,25,4,电子产品,电视,三星Neo QLED,4372.3,1,1.0,4372.3,CUST-90731,罗建平,山东省,烟台市,台湾省艳县双滦香港街l座 928304,时空盒数字信息有限公司电商店铺,4,支付宝,7
ORD-20220727-04476,2022-07-27,2022,7,27,3,美妆,常规,美妆商品31,1627.21,1,1.0,1627.21,CUST-57998,赖峰,湖北省,黄石市,浙江省艳市大东台北路P座 816466,恒聪百汇信息有限公司电商店铺,4,货到付款,1
ORD-20240428-04477,2024-04-28,2024,4,28,2,珠宝,常规,珠宝商品74,1463.67,1,1.0,1463.67,CUST-82351,邓丹,湖南省,株洲市,甘肃省邯郸市浔阳刘街W座 815235,趋势信息有限公司电商店铺,5,支付宝,5
ORD-20230914-04478,2023-09-14,2023,9,14,3,珠宝,常规,珠宝商品8,999.99,2,1.0,1999.98,CUST-39303,陈龙,河南省,开封市,安徽省张家港县永川汕尾街a座 618690,华远软件传媒有限公司电商店铺,4,信用卡,9
ORD-20240814-04479,2024-08-14,2024,8,14,3,玩具,常规,玩具商品41,1087.06,2,0.85,1848.0,CUST-28643,孟桂花,山东省,潍坊市,河南省天津县清浦张家港街u座 360679,恒聪百汇信息有限公司电商店铺,5,货到付款,8
